ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10140,13,21,16,21,14,15,17,6,12,15
10141,31,0,20,0,6,0,9,0,0,0
10142,10,12,22,12,10,0,28,33,15,0
10143,0,1,26,5,0,27,0,0,37,7
10144,0,0,0,0,0,0,0,0,0,0
10145,0,0,0,0,0,0,0,0,0,0
10146,0,0,0,0,8,0,0,16,0,0
10147,0,0,0,0,21,0,0,0,0,16
10148,0,0,0,0,0,0,0,0,0,0
10149,0,0,0,20,8,0,0,0,0,6
10150,0,0,0,0,0,0,0,0,0,0
10151,35,35,35,35,35,35,35,35,35,35
10152,0,0,0,0,0,0,0,0,0,0
10153,0,23,12,17,16,25,23,12,10,7
10154,31,31,31,31,31,31,31,31,31,31
10155,18,18,18,18,18,18,18,18,18,18
10156,8,8,8,8,8,8,8,8,8,8
10157,23,23,23,23,23,23,23,23,23,23
10158,0,0,0,0,0,0,0,0,0,0
10159,19,19,19,19,19,19,19,19,19,19
10160,0,0,0,0,0,0,0,0,0,0
10161,0,0,0,0,0,0,0,0,0,0
10162,0,0,0,0,0,0,0,0,0,0
10163,0,0,0,0,0,0,0,0,0,0
10164,21,21,21,21,21,21,21,21,21,21
10165,0,0,0,0,0,0,0,0,0,15
10166,21,21,21,21,21,21,21,21,21,21
10167,26,26,26,26,26,26,26,26,26,26
10168,0,0,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,0,0
10170,13,13,13,13,13,13,13,13,13,13
10171,0,0,0,0,0,0,0,0,0,0
10172,0,0,0,0,0,0,0,0,0,0
10173,0,0,0,0,0,0,0,0,0,0
10174,0,0,0,0,0,0,0,0,0,0
10175,0,0,0,0,0,0,0,0,0,0
10176,0,0,0,0,0,0,0,0,0,0
10177,0,0,0,0,0,0,0,0,0,0
10178,0,0,0,0,0,0,0,0,8,0
10179,14,0,0,21,0,5,0,0,0,0
10180,10,10,10,10,10,10,10,10,10,10
10181,0,0,0,0,0,0,0,0,0,0
10182,0,0,0,0,0,0,0,0,12,0
10183,19,19,19,19,19,19,19,19,19,19
10184,21,21,21,21,21,21,21,21,21,21
10185,0,16,19,0,29,0,0,27,24,16
10186,0,0,0,0,0,0,0,0,0,0
10187,0,0,0,0,0,0,0,0,0,0
10188,0,0,0,0,0,0,0,0,0,0
10189,0,0,0,0,0,0,0,0,0,0
10190,0,0,0,0,0,0,3,0,0,0
10191,0,22,0,18,0,0,0,0,0,0
10192,0,0,0,0,0,0,0,0,0,0
10193,0,0,0,0,0,0,0,0,0,0
10194,14,14,14,14,14,14,14,14,14,14
10195,0,0,0,0,10,30,0,16,0,25
10196,0,0,0,0,0,0,0,0,0,0
10197,23,23,23,23,23,23,23,23,23,23
10198,0,0,0,0,0,0,0,0,12,0
10199,8,0,0,0,35,38,6,0,14,31
10200,23,23,23,23,23,23,23,23,23,23
10201,0,0,0,0,0,0,0,0,0,0
10202,0,0,0,0,0,0,0,0,0,0
10203,13,12,0,22,17,0,6,0,28,35
10204,0,9,28,26,0,0,0,0,0,0
10205,0,0,0,0,0,0,0,0,0,0
10206,0,0,0,0,0,0,0,0,0,0
10207,0,0,0,0,0,0,0,0,0,0
10208,0,0,0,4,0,0,0,0,0,0
10209,0,0,11,0,9,0,0,0,0,11
10210,0,0,0,0,0,0,0,0,0,0
10211,9,9,9,9,9,9,9,9,9,9
10212,0,0,0,0,0,0,0,0,0,0
10213,17,3,21,0,20,0,10,0,0,18
10214,0,0,0,0,0,0,0,0,0,0
10215,1,1,1,1,1,1,1,1,1,1
10216,0,0,0,0,0,0,0,0,0,0
10217,0,0,0,34,8,0,0,0,20,0
10218,0,0,0,0,0,0,0,0,0,0
10219,30,30,30,30,30,30,30,30,30,30
10220,32,32,32,32,32,32,32,32,32,32
10221,0,0,0,0,0,0,0,0,0,0
10222,0,0,16,0,0,0,0,0,9,17
10223,0,0,0,0,0,0,0,0,0,0
10224,0,0,0,0,0,0,0,0,0,6
10225,0,0,0,0,0,0,36,0,0,16
10226,0,0,0,0,0,0,0,0,0,0
10227,0,0,0,0,0,0,0,0,0,0
10228,27,0,0,0,17,0,0,0,0,0
10229,0,0,0,0,0,27,0,0,0,0
10230,0,8,10,0,0,0,0,0,12,30
10231,0,0,0,0,0,0,0,0,0,0
10232,0,0,20,17,9,0,20,9,0,16
10233,19,19,19,19,19,19,19,19,19,19
10234,9,17,0,14,37,31,33,14,0,12
10235,0,0,0,0,0,0,0,0,0,0
10236,19,19,19,19,19,19,19,19,19,19
10237,0,0,0,0,0,0,0,0,0,0
10238,0,0,0,0,0,0,0,0,0,0
10239,0,0,0,0,0,0,0,0,0,0
10240,0,0,0,0,0,0,0,0,0,0
10241,0,0,0,0,0,0,0,0,0,0
10242,26,26,26,26,26,26,26,26,26,26
10243,0,0,0,0,0,0,0,0,0,0
10244,0,0,0,0,0,0,0,0,0,0
10245,23,23,23,23,23,23,23,23,23,23
10246,0,0,0,0,0,0,0,0,0,0
10247,0,0,0,0,0,0,0,0,0,0
10248,0,0,0,0,0,0,0,0,0,0
10249,8,8,8,8,8,8,8,8,8,8
10250,0,0,0,0,0,0,0,0,0,0
10251,0,0,0,0,0,0,0,0,0,0
10252,0,0,0,0,0,0,0,0,0,0
10253,0,0,0,0,0,0,0,0,0,0
10254,11,34,3,0,6,11,8,0,22,7
10255,0,0,0,22,0,0,0,0,0,0
10256,10,10,10,26,10,21,30,10,10,10
10257,0,14,21,0,35,16,9,14,16,11
10258,0,0,0,0,0,0,0,0,0,0
10259,33,33,33,33,33,33,33,33,33,33
10260,0,32,0,0,14,0,0,0,0,0
10261,0,0,0,0,0,0,0,0,0,7
10262,4,0,11,9,0,0,0,0,0,16
10263,0,0,0,0,0,0,0,0,0,0
10264,0,0,0,0,0,0,0,0,0,0
10265,0,0,0,0,0,0,0,0,0,0
10266,0,0,0,0,0,0,0,0,0,0
10267,0,0,0,0,16,0,0,0,0,0
10268,4,4,4,4,4,4,4,4,4,4
10269,0,0,0,0,0,0,0,0,0,0
10270,13,16,0,0,23,0,18,0,0,0
10271,0,0,0,0,0,0,0,0,0,0
10272,25,25,25,25,25,25,25,25,25,25
10273,0,0,0,0,0,0,0,0,0,0
10274,0,0,9,29,15,0,24,0,0,0
10275,11,11,11,11,11,11,11,11,11,11
10276,19,19,19,19,19,19,19,19,19,19
10277,0,0,0,0,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0,0,0
10279,0,0,0,0,16,19,0,0,0,23
10280,6,6,6,6,6,6,6,6,6,6
10281,23,0,0,0,0,0,0,0,0,0
10282,0,0,0,0,0,0,0,0,0,27
10283,13,13,13,13,13,13,13,13,13,13
10284,0,0,0,0,0,0,0,0,0,0
10285,0,0,0,0,0,0,0,0,0,0
10286,0,0,32,0,0,0,0,0,16,0
10287,0,0,0,0,0,0,0,0,0,0
10288,27,27,27,27,27,27,27,27,27,27
10289,28,28,28,28,28,28,28,28,28,28
10290,0,0,0,0,0,0,9,14,0,0
10291,0,0,0,0,0,0,0,0,0,0
10292,0,0,0,15,0,0,0,0,0,18
10293,0,0,0,0,0,0,0,0,0,12
10294,0,0,0,0,0,0,0,0,0,0
10295,11,11,11,11,11,11,22,11,11,11
10296,18,18,18,18,18,18,18,18,18,18
10297,0,0,0,0,0,0,0,0,0,0
10298,30,9,0,0,0,0,0,0,0,0
10299,36,36,36,36,36,36,36,36,36,36
