ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10140,0,0,0,0,0,0,0,0,0,0
10141,25,0,0,0,0,0,35,0,0,0
10142,0,0,0,0,0,0,0,27,0,0
10143,10,10,10,10,10,10,10,10,10,10
10144,1,1,1,1,1,1,1,1,1,1
10145,0,0,0,0,0,0,0,0,0,0
10146,0,0,0,0,10,25,0,0,0,0
10147,0,0,0,0,0,0,0,0,0,0
10148,0,0,0,0,0,0,0,0,0,0
10149,0,0,0,0,0,0,0,0,0,0
10150,0,15,0,13,0,0,0,0,15,0
10151,31,31,31,31,31,31,31,31,31,31
10152,0,0,0,0,0,0,0,0,0,0
10153,0,8,0,0,14,9,0,0,18,7
10154,9,9,9,9,9,9,9,9,9,9
10155,0,0,0,0,0,0,0,0,0,0
10156,0,0,0,0,0,0,0,0,0,0
10157,0,0,0,0,0,0,0,0,0,0
10158,0,0,0,0,0,0,0,0,0,0
10159,0,0,0,0,0,0,0,0,0,0
10160,21,0,13,16,18,7,0,7,2,0
10161,0,0,0,0,0,0,0,0,0,0
10162,15,28,12,9,29,24,14,16,19,18
10163,0,0,0,0,0,0,0,0,0,0
10164,0,0,0,0,27,0,0,0,0,0
10165,0,0,0,0,0,16,0,0,0,0
10167,0,0,0,0,0,0,0,0,0,0
10168,0,0,0,19,10,44,0,0,0,0
10169,0,0,0,0,0,0,0,0,0,0
10170,0,0,0,0,0,0,0,0,0,0
10171,0,7,5,19,0,0,0,0,0,0
10172,19,13,28,16,38,25,17,23,16,25
10173,8,8,8,8,8,8,8,8,8,8
10174,20,20,20,20,20,20,20,20,20,20
10175,0,0,0,15,0,0,0,10,0,9
10176,0,0,0,0,11,0,0,0,0,0
10177,0,0,0,0,0,0,0,0,0,0
10178,0,0,0,0,0,0,0,0,0,0
10179,0,0,0,0,0,0,0,0,0,0
10180,0,0,0,0,0,0,0,0,0,0
10181,0,0,0,0,0,0,0,0,0,0
10182,0,0,0,0,0,0,0,0,0,0
10183,0,0,0,0,0,0,0,0,0,0
10184,0,0,0,0,0,0,0,0,0,0
10185,16,16,16,16,16,16,16,16,16,16
10186,23,23,23,23,23,23,23,23,23,23
10187,0,0,0,0,0,0,0,0,0,0
10188,7,18,18,0,0,15,13,5,28,0
10189,0,0,0,0,0,0,0,0,0,0
10190,8,13,0,7,8,9,0,9,0,10
10191,0,14,0,21,0,16,0,0,11,0
10192,0,0,0,0,0,0,0,0,0,0
10193,14,14,14,14,14,14,14,14,14,14
10194,13,13,13,13,13,13,13,13,13,13
10195,0,0,14,0,0,0,0,0,0,0
10196,0,0,0,0,0,0,0,0,0,0
10197,0,0,0,0,0,0,0,0,0,0
10198,0,0,0,0,0,0,0,0,0,0
10199,15,14,14,14,14,14,14,14,14,15
10200,10,0,8,0,5,0,3,9,0,15
10201,18,18,18,18,18,18,18,18,18,18
10202,0,0,0,0,0,0,0,0,0,0
10203,12,12,12,12,12,12,12,12,12,12
10204,24,24,24,24,25,24,24,24,24,24
10205,22,22,22,22,22,22,22,22,22,22
10206,28,28,28,28,28,28,28,28,28,28
10207,12,12,12,12,12,12,12,12,12,12
10208,0,0,0,0,0,0,0,0,0,0
10209,0,0,0,0,0,0,0,0,0,0
